"","Subject","Word","Condition","Instance","Guess","Gold","Correct","Simulation","Model"
"117",1,"moke","High-Absent",5,"car","fish",0,3,"PURSUIT"
"118",1,"zud","High-Absent",5,"fish","bear",0,3,"PURSUIT"
"119",1,"wode","High-Absent",5,"car","door",0,3,"PURSUIT"
"120",1,"glemp","High-Absent",5,"bird","bird",1,3,"PURSUIT"
"121",1,"heek","High-Absent",1,"hand","book",0,4,"PURSUIT"
"122",1,"smick","High-Absent",1,"shoe","ball",0,4,"PURSUIT"
"123",1,"toop","High-Absent",1,"book","car",0,4,"PURSUIT"
"124",1,"irp","High-Absent",1,"door","hand",0,4,"PURSUIT"
"125",1,"moke","High-Absent",1,"car","fish",0,4,"PURSUIT"
"126",1,"zud","High-Absent",1,"dog","bear",0,4,"PURSUIT"
"127",1,"wode","High-Absent",1,"bear","door",0,4,"PURSUIT"
"128",1,"glemp","High-Absent",1,"hand","bird",0,4,"PURSUIT"
"129",1,"heek","High-Absent",2,"book","book",1,4,"PURSUIT"
"130",1,"smick","High-Absent",2,"door","ball",0,4,"PURSUIT"
"131",1,"toop","High-Absent",2,"car","car",1,4,"PURSUIT"
"132",1,"irp","High-Absent",2,"hand","hand",1,4,"PURSUIT"
"133",1,"moke","High-Absent",2,"ball","fish",0,4,"PURSUIT"
"134",1,"zud","High-Absent",2,"shoe","bear",0,4,"PURSUIT"
"135",1,"wode","High-Absent",2,"bear","door",0,4,"PURSUIT"
"136",1,"glemp","High-Absent",2,"hand","bird",0,4,"PURSUIT"
"137",1,"heek","High-Absent",3,"fish","book",0,4,"PURSUIT"
"138",1,"smick","High-Absent",3,"car","ball",0,4,"PURSUIT"
"139",1,"toop","High-Absent",3,"book","car",0,4,"PURSUIT"
"140",1,"irp","High-Absent",3,"hand","hand",1,4,"PURSUIT"
"141",1,"moke","High-Absent",3,"bird","fish",0,4,"PURSUIT"
"142",1,"zud","High-Absent",3,"door","bear",0,4,"PURSUIT"
"143",1,"wode","High-Absent",3,"door","door",1,4,"PURSUIT"
"144",1,"glemp","High-Absent",3,"shoe","bird",0,4,"PURSUIT"
"145",1,"heek","High-Absent",4,"dog","book",0,4,"PURSUIT"
"146",1,"smick","High-Absent",4,"shoe","ball",0,4,"PURSUIT"
"147",1,"toop","High-Absent",4,"ball","car",0,4,"PURSUIT"
"148",1,"irp","High-Absent",4,"hand","hand",1,4,"PURSUIT"
"149",1,"moke","High-Absent",4,"ball","fish",0,4,"PURSUIT"
"150",1,"zud","High-Absent",4,"bear","bear",1,4,"PURSUIT"
"151",1,"wode","High-Absent",4,"fish","door",0,4,"PURSUIT"
"152",1,"glemp","High-Absent",4,"bird","bird",1,4,"PURSUIT"
"153",1,"heek","High-Absent",5,"shoe","book",0,4,"PURSUIT"
"154",1,"smick","High-Absent",5,"bear","ball",0,4,"PURSUIT"
"155",1,"toop","High-Absent",5,"dog","car",0,4,"PURSUIT"
"156",1,"irp","High-Absent",5,"cat","hand",0,4,"PURSUIT"
"157",1,"moke","High-Absent",5,"car","fish",0,4,"PURSUIT"
"158",1,"zud","High-Absent",5,"dog","bear",0,4,"PURSUIT"
"159",1,"wode","High-Absent",5,"ball","door",0,4,"PURSUIT"
"160",1,"glemp","High-Absent",5,"book","bird",0,4,"PURSUIT"
"161",1,"heek","High-Absent",1,"ball","book",0,5,"PURSUIT"
"162",1,"smick","High-Absent",1,"eye","ball",0,5,"PURSUIT"
"163",1,"toop","High-Absent",1,"book","car",0,5,"PURSUIT"
"164",1,"irp","High-Absent",1,"cat","hand",0,5,"PURSUIT"
"165",1,"moke","High-Absent",1,"fish","fish",1,5,"PURSUIT"
"166",1,"zud","High-Absent",1,"ball","bear",0,5,"PURSUIT"
"167",1,"wode","High-Absent",1,"dog","door",0,5,"PURSUIT"
"168",1,"glemp","High-Absent",1,"hand","bird",0,5,"PURSUIT"
"169",1,"heek","High-Absent",2,"book","book",1,5,"PURSUIT"
"170",1,"smick","High-Absent",2,"door","ball",0,5,"PURSUIT"
"171",1,"toop","High-Absent",2,"ball","car",0,5,"PURSUIT"
"172",1,"irp","High-Absent",2,"hand","hand",1,5,"PURSUIT"
"173",1,"moke","High-Absent",2,"fish","fish",1,5,"PURSUIT"
"174",1,"zud","High-Absent",2,"shoe","bear",0,5,"PURSUIT"
"175",1,"wode","High-Absent",2,"bird","door",0,5,"PURSUIT"
"176",1,"glemp","High-Absent",2,"bird","bird",1,5,"PURSUIT"
"177",1,"heek","High-Absent",3,"door","book",0,5,"PURSUIT"
"178",1,"smick","High-Absent",3,"car","ball",0,5,"PURSUIT"
"179",1,"toop","High-Absent",3,"cat","car",0,5,"PURSUIT"
"180",1,"irp","High-Absent",3,"hand","hand",1,5,"PURSUIT"
"181",1,"moke","High-Absent",3,"fish","fish",1,5,"PURSUIT"
"182",1,"zud","High-Absent",3,"bear","bear",1,5,"PURSUIT"
"183",1,"wode","High-Absent",3,"cat","door",0,5,"PURSUIT"
"184",1,"glemp","High-Absent",3,"eye","bird",0,5,"PURSUIT"
"185",1,"heek","High-Absent",4,"book","book",1,5,"PURSUIT"
"186",1,"smick","High-Absent",4,"bear","ball",0,5,"PURSUIT"
"187",1,"toop","High-Absent",4,"car","car",1,5,"PURSUIT"
"188",1,"irp","High-Absent",4,"ball","hand",0,5,"PURSUIT"
"189",1,"moke","High-Absent",4,"fish","fish",1,5,"PURSUIT"
"190",1,"zud","High-Absent",4,"hand","bear",0,5,"PURSUIT"
"191",1,"wode","High-Absent",4,"dog","door",0,5,"PURSUIT"
"192",1,"glemp","High-Absent",4,"book","bird",0,5,"PURSUIT"
"193",1,"heek","High-Absent",5,"book","book",1,5,"PURSUIT"
"194",1,"smick","High-Absent",5,"eye","ball",0,5,"PURSUIT"
"195",1,"toop","High-Absent",5,"door","car",0,5,"PURSUIT"
"196",1,"irp","High-Absent",5,"hand","hand",1,5,"PURSUIT"
"197",1,"moke","High-Absent",5,"fish","fish",1,5,"PURSUIT"
"198",1,"zud","High-Absent",5,"bear","bear",1,5,"PURSUIT"
"199",1,"wode","High-Absent",5,"car","door",0,5,"PURSUIT"
"200",1,"glemp","High-Absent",5,"car","bird",0,5,"PURSUIT"
"201",1,"heek","High-Absent",1,"ball","book",0,6,"PURSUIT"
"202",1,"smick","High-Absent",1,"shoe","ball",0,6,"PURSUIT"
"203",1,"toop","High-Absent",1,"bird","car",0,6,"PURSUIT"
"204",1,"irp","High-Absent",1,"bear","hand",0,6,"PURSUIT"
"205",1,"moke","High-Absent",1,"car","fish",0,6,"PURSUIT"
"206",1,"zud","High-Absent",1,"dog","bear",0,6,"PURSUIT"
"207",1,"wode","High-Absent",1,"bear","door",0,6,"PURSUIT"
"208",1,"glemp","High-Absent",1,"hand","bird",0,6,"PURSUIT"
"209",1,"heek","High-Absent",2,"bear","book",0,6,"PURSUIT"
"210",1,"smick","High-Absent",2,"dog","ball",0,6,"PURSUIT"
"211",1,"toop","High-Absent",2,"ball","car",0,6,"PURSUIT"
"212",1,"irp","High-Absent",2,"hand","hand",1,6,"PURSUIT"
"213",1,"moke","High-Absent",2,"hand","fish",0,6,"PURSUIT"
"214",1,"zud","High-Absent",2,"eye","bear",0,6,"PURSUIT"
"215",1,"wode","High-Absent",2,"door","door",1,6,"PURSUIT"
"216",1,"glemp","High-Absent",2,"hand","bird",0,6,"PURSUIT"
"217",1,"heek","High-Absent",3,"eye","book",0,6,"PURSUIT"
"218",1,"smick","High-Absent",3,"ball","ball",1,6,"PURSUIT"
"219",1,"toop","High-Absent",3,"fish","car",0,6,"PURSUIT"
"220",1,"irp","High-Absent",3,"car","hand",0,6,"PURSUIT"
"221",1,"moke","High-Absent",3,"hand","fish",0,6,"PURSUIT"
"222",1,"zud","High-Absent",3,"hand","bear",0,6,"PURSUIT"
"223",1,"wode","High-Absent",3,"book","door",0,6,"PURSUIT"
"224",1,"glemp","High-Absent",3,"eye","bird",0,6,"PURSUIT"
"225",1,"heek","High-Absent",4,"dog","book",0,6,"PURSUIT"
"226",1,"smick","High-Absent",4,"shoe","ball",0,6,"PURSUIT"
"227",1,"toop","High-Absent",4,"ball","car",0,6,"PURSUIT"
"228",1,"irp","High-Absent",4,"hand","hand",1,6,"PURSUIT"
"229",1,"moke","High-Absent",4,"ball","fish",0,6,"PURSUIT"
"230",1,"zud","High-Absent",4,"book","bear",0,6,"PURSUIT"
"231",1,"wode","High-Absent",4,"car","door",0,6,"PURSUIT"
"232",1,"glemp","High-Absent",4,"dog","bird",0,6,"PURSUIT"
"233",1,"heek","High-Absent",5,"book","book",1,6,"PURSUIT"
"234",1,"smick","High-Absent",5,"ball","ball",1,6,"PURSUIT"
"235",1,"toop","High-Absent",5,"bird","car",0,6,"PURSUIT"
"236",1,"irp","High-Absent",5,"cat","hand",0,6,"PURSUIT"
"237",1,"moke","High-Absent",5,"door","fish",0,6,"PURSUIT"
"238",1,"zud","High-Absent",5,"dog","bear",0,6,"PURSUIT"
"239",1,"wode","High-Absent",5,"door","door",1,6,"PURSUIT"
"240",1,"glemp","High-Absent",5,"bird","bird",1,6,"PURSUIT"
"241",1,"heek","High-Absent",1,"ball","book",0,7,"PURSUIT"
"242",1,"smick","High-Absent",1,"shoe","ball",0,7,"PURSUIT"
"243",1,"toop","High-Absent",1,"bird","car",0,7,"PURSUIT"
"244",1,"irp","High-Absent",1,"door","hand",0,7,"PURSUIT"
"245",1,"moke","High-Absent",1,"fish","fish",1,7,"PURSUIT"
"246",1,"zud","High-Absent",1,"book","bear",0,7,"PURSUIT"
"247",1,"wode","High-Absent",1,"dog","door",0,7,"PURSUIT"
"248",1,"glemp","High-Absent",1,"ball","bird",0,7,"PURSUIT"
"249",1,"heek","High-Absent",2,"ball","book",0,7,"PURSUIT"
"250",1,"smick","High-Absent",2,"door","ball",0,7,"PURSUIT"
"251",1,"toop","High-Absent",2,"bear","car",0,7,"PURSUIT"
"252",1,"irp","High-Absent",2,"hand","hand",1,7,"PURSUIT"
"253",1,"moke","High-Absent",2,"cat","fish",0,7,"PURSUIT"
"254",1,"zud","High-Absent",2,"bird","bear",0,7,"PURSUIT"
"255",1,"wode","High-Absent",2,"door","door",1,7,"PURSUIT"
"256",1,"glemp","High-Absent",2,"hand","bird",0,7,"PURSUIT"
"257",1,"heek","High-Absent",3,"eye","book",0,7,"PURSUIT"
"258",1,"smick","High-Absent",3,"door","ball",0,7,"PURSUIT"
"259",1,"toop","High-Absent",3,"fish","car",0,7,"PURSUIT"
"260",1,"irp","High-Absent",3,"hand","hand",1,7,"PURSUIT"
"261",1,"moke","High-Absent",3,"fish","fish",1,7,"PURSUIT"
"262",1,"zud","High-Absent",3,"cat","bear",0,7,"PURSUIT"
"263",1,"wode","High-Absent",3,"book","door",0,7,"PURSUIT"
"264",1,"glemp","High-Absent",3,"bird","bird",1,7,"PURSUIT"
"265",1,"heek","High-Absent",4,"car","book",0,7,"PURSUIT"
"266",1,"smick","High-Absent",4,"bear","ball",0,7,"PURSUIT"
"267",1,"toop","High-Absent",4,"hand","car",0,7,"PURSUIT"
"268",1,"irp","High-Absent",4,"hand","hand",1,7,"PURSUIT"
"269",1,"moke","High-Absent",4,"shoe","fish",0,7,"PURSUIT"
"270",1,"zud","High-Absent",4,"book","bear",0,7,"PURSUIT"
"271",1,"wode","High-Absent",4,"dog","door",0,7,"PURSUIT"
"272",1,"glemp","High-Absent",4,"dog","bird",0,7,"PURSUIT"
"273",1,"heek","High-Absent",5,"eye","book",0,7,"PURSUIT"
"274",1,"smick","High-Absent",5,"eye","ball",0,7,"PURSUIT"
"275",1,"toop","High-Absent",5,"bird","car",0,7,"PURSUIT"
"276",1,"irp","High-Absent",5,"hand","hand",1,7,"PURSUIT"
"277",1,"moke","High-Absent",5,"fish","fish",1,7,"PURSUIT"
"278",1,"zud","High-Absent",5,"bear","bear",1,7,"PURSUIT"
"279",1,"wode","High-Absent",5,"ball","door",0,7,"PURSUIT"
"280",1,"glemp","High-Absent",5,"ball","bird",0,7,"PURSUIT"
"281",1,"heek","High-Absent",1,"fish","book",0,8,"PURSUIT"
"282",1,"smick","High-Absent",1,"cat","ball",0,8,"PURSUIT"
"283",1,"toop","High-Absent",1,"bird","car",0,8,"PURSUIT"
"284",1,"irp","High-Absent",1,"bear","hand",0,8,"PURSUIT"
"285",1,"moke","High-Absent",1,"shoe","fish",0,8,"PURSUIT"
"286",1,"zud","High-Absent",1,"car","bear",0,8,"PURSUIT"
"287",1,"wode","High-Absent",1,"dog","door",0,8,"PURSUIT"
"288",1,"glemp","High-Absent",1,"ball","bird",0,8,"PURSUIT"
"289",1,"heek","High-Absent",2,"book","book",1,8,"PURSUIT"
"290",1,"smick","High-Absent",2,"bird","ball",0,8,"PURSUIT"
"291",1,"toop","High-Absent",2,"bear","car",0,8,"PURSUIT"
"292",1,"irp","High-Absent",2,"ball","hand",0,8,"PURSUIT"
"293",1,"moke","High-Absent",2,"cat","fish",0,8,"PURSUIT"
"294",1,"zud","High-Absent",2,"car","bear",0,8,"PURSUIT"
"295",1,"wode","High-Absent",2,"bird","door",0,8,"PURSUIT"
"296",1,"glemp","High-Absent",2,"hand","bird",0,8,"PURSUIT"
"297",1,"heek","High-Absent",3,"book","book",1,8,"PURSUIT"
"298",1,"smick","High-Absent",3,"book","ball",0,8,"PURSUIT"
"299",1,"toop","High-Absent",3,"fish","car",0,8,"PURSUIT"
"300",1,"irp","High-Absent",3,"car","hand",0,8,"PURSUIT"
"301",1,"moke","High-Absent",3,"hand","fish",0,8,"PURSUIT"
"302",1,"zud","High-Absent",3,"shoe","bear",0,8,"PURSUIT"
"303",1,"wode","High-Absent",3,"door","door",1,8,"PURSUIT"
"304",1,"glemp","High-Absent",3,"eye","bird",0,8,"PURSUIT"
"305",1,"heek","High-Absent",4,"book","book",1,8,"PURSUIT"
"306",1,"smick","High-Absent",4,"ball","ball",1,8,"PURSUIT"
"307",1,"toop","High-Absent",4,"door","car",0,8,"PURSUIT"
"308",1,"irp","High-Absent",4,"bear","hand",0,8,"PURSUIT"
"309",1,"moke","High-Absent",4,"shoe","fish",0,8,"PURSUIT"
"310",1,"zud","High-Absent",4,"hand","bear",0,8,"PURSUIT"
"311",1,"wode","High-Absent",4,"fish","door",0,8,"PURSUIT"
"312",1,"glemp","High-Absent",4,"book","bird",0,8,"PURSUIT"
"313",1,"heek","High-Absent",5,"book","book",1,8,"PURSUIT"
"314",1,"smick","High-Absent",5,"eye","ball",0,8,"PURSUIT"
"315",1,"toop","High-Absent",5,"bird","car",0,8,"PURSUIT"
"316",1,"irp","High-Absent",5,"hand","hand",1,8,"PURSUIT"
"317",1,"moke","High-Absent",5,"book","fish",0,8,"PURSUIT"
"318",1,"zud","High-Absent",5,"fish","bear",0,8,"PURSUIT"
"319",1,"wode","High-Absent",5,"eye","door",0,8,"PURSUIT"
"320",1,"glemp","High-Absent",5,"ball","bird",0,8,"PURSUIT"
"321",1,"heek","High-Absent",1,"book","book",1,9,"PURSUIT"
"322",1,"smick","High-Absent",1,"eye","ball",0,9,"PURSUIT"
"323",1,"toop","High-Absent",1,"fish","car",0,9,"PURSUIT"
"324",1,"irp","High-Absent",1,"shoe","hand",0,9,"PURSUIT"
"325",1,"moke","High-Absent",1,"fish","fish",1,9,"PURSUIT"
"326",1,"zud","High-Absent",1,"dog","bear",0,9,"PURSUIT"
"327",1,"wode","High-Absent",1,"bear","door",0,9,"PURSUIT"
"328",1,"glemp","High-Absent",1,"hand","bird",0,9,"PURSUIT"
"329",1,"heek","High-Absent",2,"book","book",1,9,"PURSUIT"
"330",1,"smick","High-Absent",2,"door","ball",0,9,"PURSUIT"
"331",1,"toop","High-Absent",2,"ball","car",0,9,"PURSUIT"
"332",1,"irp","High-Absent",2,"dog","hand",0,9,"PURSUIT"
"333",1,"moke","High-Absent",2,"fish","fish",1,9,"PURSUIT"
"334",1,"zud","High-Absent",2,"bear","bear",1,9,"PURSUIT"
"335",1,"wode","High-Absent",2,"bear","door",0,9,"PURSUIT"
"336",1,"glemp","High-Absent",2,"hand","bird",0,9,"PURSUIT"
"337",1,"heek","High-Absent",3,"book","book",1,9,"PURSUIT"
"338",1,"smick","High-Absent",3,"fish","ball",0,9,"PURSUIT"
"339",1,"toop","High-Absent",3,"cat","car",0,9,"PURSUIT"
"340",1,"irp","High-Absent",3,"shoe","hand",0,9,"PURSUIT"
"341",1,"moke","High-Absent",3,"fish","fish",1,9,"PURSUIT"
"342",1,"zud","High-Absent",3,"bear","bear",1,9,"PURSUIT"
"343",1,"wode","High-Absent",3,"door","door",1,9,"PURSUIT"
"344",1,"glemp","High-Absent",3,"eye","bird",0,9,"PURSUIT"
"345",1,"heek","High-Absent",4,"book","book",1,9,"PURSUIT"
"346",1,"smick","High-Absent",4,"shoe","ball",0,9,"PURSUIT"
"347",1,"toop","High-Absent",4,"ball","car",0,9,"PURSUIT"
"348",1,"irp","High-Absent",4,"book","hand",0,9,"PURSUIT"
"349",1,"moke","High-Absent",4,"fish","fish",1,9,"PURSUIT"
"350",1,"zud","High-Absent",4,"hand","bear",0,9,"PURSUIT"
"351",1,"wode","High-Absent",4,"hand","door",0,9,"PURSUIT"
"352",1,"glemp","High-Absent",4,"car","bird",0,9,"PURSUIT"
"353",1,"heek","High-Absent",5,"book","book",1,9,"PURSUIT"
"354",1,"smick","High-Absent",5,"eye","ball",0,9,"PURSUIT"
"355",1,"toop","High-Absent",5,"bird","car",0,9,"PURSUIT"
"356",1,"irp","High-Absent",5,"cat","hand",0,9,"PURSUIT"
"357",1,"moke","High-Absent",5,"fish","fish",1,9,"PURSUIT"
"358",1,"zud","High-Absent",5,"bear","bear",1,9,"PURSUIT"
"359",1,"wode","High-Absent",5,"eye","door",0,9,"PURSUIT"
"360",1,"glemp","High-Absent",5,"bird","bird",1,9,"PURSUIT"
"361",1,"heek","High-Absent",1,"book","book",1,10,"PURSUIT"
"362",1,"smick","High-Absent",1,"ball","ball",1,10,"PURSUIT"
"363",1,"toop","High-Absent",1,"bird","car",0,10,"PURSUIT"
"364",1,"irp","High-Absent",1,"hand","hand",1,10,"PURSUIT"
"365",1,"moke","High-Absent",1,"shoe","fish",0,10,"PURSUIT"
"366",1,"zud","High-Absent",1,"ball","bear",0,10,"PURSUIT"
"367",1,"wode","High-Absent",1,"bear","door",0,10,"PURSUIT"
"368",1,"glemp","High-Absent",1,"fish","bird",0,10,"PURSUIT"
"369",1,"heek","High-Absent",2,"book","book",1,10,"PURSUIT"
"370",1,"smick","High-Absent",2,"car","ball",0,10,"PURSUIT"
"371",1,"toop","High-Absent",2,"cat","car",0,10,"PURSUIT"
"372",1,"irp","High-Absent",2,"hand","hand",1,10,"PURSUIT"
"373",1,"moke","High-Absent",2,"ball","fish",0,10,"PURSUIT"
"374",1,"zud","High-Absent",2,"bear","bear",1,10,"PURSUIT"
"375",1,"wode","High-Absent",2,"bear","door",0,10,"PURSUIT"
"376",1,"glemp","High-Absent",2,"hand","bird",0,10,"PURSUIT"
"377",1,"heek","High-Absent",3,"book","book",1,10,"PURSUIT"
"378",1,"smick","High-Absent",3,"book","ball",0,10,"PURSUIT"
"379",1,"toop","High-Absent",3,"fish","car",0,10,"PURSUIT"
"380",1,"irp","High-Absent",3,"hand","hand",1,10,"PURSUIT"
